prompt,completion,train
<s>[INST] Provide details for the goal scored by Antonio Laing of Honduras in the 1982 FIFA Men's World Cup match Honduras vs Northern Ireland on 1982-06-21 at the group stage stage.  [/INST],"The goal was scored by Antonio Laing of Honduras in the 60' minute (second half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match Honduras vs Northern Ireland on 1982-06-21 at the group stage stage. It was regular play. Minute of regulation: 60, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Włodzimierz Smolarek of Poland in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Włodzimierz Smolarek of Poland in the 55' minute (second half) wearing shirt number 11 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 55, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Grzegorz Lato of Poland in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Grzegorz Lato of Poland in the 58' minute (second half) wearing shirt number 16 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 58, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Zbigniew Boniek of Poland in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Zbigniew Boniek of Poland in the 61' minute (second half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 61, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Andrzej Buncol of Poland in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Andrzej Buncol of Poland in the 68' minute (second half) wearing shirt number 13 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Włodzimierz Ciołek of Poland in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Włodzimierz Ciołek of Poland in the 76' minute (second half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 76, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo La Rosa of Peru in the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Guillermo La Rosa of Peru in the 83' minute (second half) wearing shirt number 19 during the 1982 FIFA Men's World Cup match Poland vs Peru on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 83, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by József Varga of Hungary in the 1982 FIFA Men's World Cup match Belgium vs Hungary on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by József Varga of Hungary in the 27' minute (first half) wearing shirt number 19 during the 1982 FIFA Men's World Cup match Belgium vs Hungary on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 27, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alexandre Czerniatynski of Belgium in the 1982 FIFA Men's World Cup match Belgium vs Hungary on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Alexandre Czerniatynski of Belgium in the 76' minute (second half) wearing shirt number 21 during the 1982 FIFA Men's World Cup match Belgium vs Hungary on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 76, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Joe Jordan of Scotland in the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Joe Jordan of Scotland in the 15' minute (first half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 15, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Aleksandr Chivadze of Soviet Union in the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Aleksandr Chivadze of Soviet Union in the 59' minute (second half) wearing shirt number 3 during the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 59, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Ramaz Shengelia of Soviet Union in the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Ramaz Shengelia of Soviet Union in the 84' minute (second half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 84, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Graeme Souness of Scotland in the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage.  [/INST],"The goal was scored by Graeme Souness of Scotland in the 86' minute (second half) wearing shirt number 4 during the 1982 FIFA Men's World Cup match Soviet Union vs Scotland on 1982-06-22 at the group stage stage. It was regular play. Minute of regulation: 86, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Francesco Graziani of Italy in the 1982 FIFA Men's World Cup match Italy vs Cameroon on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by Francesco Graziani of Italy in the 60' minute (second half) wearing shirt number 19 during the 1982 FIFA Men's World Cup match Italy vs Cameroon on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 60, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Grégoire M'Bida of Cameroon in the 1982 FIFA Men's World Cup match Italy vs Cameroon on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by Grégoire M'Bida of Cameroon in the 61' minute (second half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match Italy vs Cameroon on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 61, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Daniel Passarella of Argentina in the 1982 FIFA Men's World Cup match Argentina vs El Salvador on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by Daniel Passarella of Argentina in the 22' minute (first half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Argentina vs El Salvador on 1982-06-23 at the group stage stage. It was a penalty. Minute of regulation: 22, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Daniel Bertoni of Argentina in the 1982 FIFA Men's World Cup match Argentina vs El Salvador on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by Daniel Bertoni of Argentina in the 54' minute (second half) wearing shirt number 4 during the 1982 FIFA Men's World Cup match Argentina vs El Salvador on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 54, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Zico of Brazil in the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by not applicable Zico of Brazil in the 28' minute (first half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 28, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Zico of Brazil in the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by not applicable Zico of Brazil in the 31' minute (first half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 31, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Falcão of Brazil in the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by not applicable Falcão of Brazil in the 64' minute (second half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 64, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Serginho of Brazil in the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage.  [/INST],"The goal was scored by not applicable Serginho of Brazil in the 70' minute (second half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Brazil vs New Zealand on 1982-06-23 at the group stage stage. It was regular play. Minute of regulation: 70, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Salah Assad of Algeria in the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Salah Assad of Algeria in the 7' minute (first half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage. It was regular play. Minute of regulation: 7, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Salah Assad of Algeria in the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Salah Assad of Algeria in the 31' minute (first half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage. It was regular play. Minute of regulation: 31, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Tedj Bensaoula of Algeria in the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Tedj Bensaoula of Algeria in the 35' minute (first half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage. It was regular play. Minute of regulation: 35, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Miguel Ángel Neira of Chile in the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Miguel Ángel Neira of Chile in the 59' minute (second half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage. It was a penalty. Minute of regulation: 59, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Juan Carlos Letelier of Chile in the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Juan Carlos Letelier of Chile in the 73' minute (second half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Algeria vs Chile on 1982-06-24 at the group stage stage. It was regular play. Minute of regulation: 73, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Didier Six of France in the 1982 FIFA Men's World Cup match France vs Czechoslovakia on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Didier Six of France in the 66' minute (second half) wearing shirt number 19 during the 1982 FIFA Men's World Cup match France vs Czechoslovakia on 1982-06-24 at the group stage stage. It was regular play. Minute of regulation: 66, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Antonín Panenka of Czechoslovakia in the 1982 FIFA Men's World Cup match France vs Czechoslovakia on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Antonín Panenka of Czechoslovakia in the 84' minute (second half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match France vs Czechoslovakia on 1982-06-24 at the group stage stage. It was a penalty. Minute of regulation: 84, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Vladimir Petrović of Yugoslavia in the 1982 FIFA Men's World Cup match Honduras vs Yugoslavia on 1982-06-24 at the group stage stage.  [/INST],"The goal was scored by Vladimir Petrović of Yugoslavia in the 88' minute (second half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match Honduras vs Yugoslavia on 1982-06-24 at the group stage stage. It was a penalty. Minute of regulation: 88, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Horst Hrubesch of West Germany in the 1982 FIFA Men's World Cup match West Germany vs Austria on 1982-06-25 at the group stage stage.  [/INST],"The goal was scored by Horst Hrubesch of West Germany in the 10' minute (first half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match West Germany vs Austria on 1982-06-25 at the group stage stage. It was regular play. Minute of regulation: 10, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Trevor Francis of England in the 1982 FIFA Men's World Cup match England vs Kuwait on 1982-06-25 at the group stage stage.  [/INST],"The goal was scored by Trevor Francis of England in the 27' minute (first half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match England vs Kuwait on 1982-06-25 at the group stage stage. It was regular play. Minute of regulation: 27, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Gerry Armstrong of Northern Ireland in the 1982 FIFA Men's World Cup match Spain vs Northern Ireland on 1982-06-25 at the group stage stage.  [/INST],"The goal was scored by Gerry Armstrong of Northern Ireland in the 47' minute (second half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Spain vs Northern Ireland on 1982-06-25 at the group stage stage. It was regular play. Minute of regulation: 47, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bernard Genghini of France in the 1982 FIFA Men's World Cup match Austria vs France on 1982-06-28 at the second group stage stage.  [/INST],"The goal was scored by Bernard Genghini of France in the 39' minute (first half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Austria vs France on 1982-06-28 at the second group stage stage. It was regular play. Minute of regulation: 39, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Zbigniew Boniek of Poland in the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage.  [/INST],"The goal was scored by Zbigniew Boniek of Poland in the 4' minute (first half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage. It was regular play. Minute of regulation: 4, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Zbigniew Boniek of Poland in the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage.  [/INST],"The goal was scored by Zbigniew Boniek of Poland in the 26' minute (first half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage. It was regular play. Minute of regulation: 26, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Zbigniew Boniek of Poland in the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage.  [/INST],"The goal was scored by Zbigniew Boniek of Poland in the 53' minute (second half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Belgium on 1982-06-28 at the second group stage stage. It was regular play. Minute of regulation: 53, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Marco Tardelli of Italy in the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage.  [/INST],"The goal was scored by Marco Tardelli of Italy in the 57' minute (second half) wearing shirt number 14 during the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage. It was regular play. Minute of regulation: 57, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Antonio Cabrini of Italy in the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage.  [/INST],"The goal was scored by Antonio Cabrini of Italy in the 67' minute (second half) wearing shirt number 4 during the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage. It was regular play. Minute of regulation: 67, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Daniel Passarella of Argentina in the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage.  [/INST],"The goal was scored by Daniel Passarella of Argentina in the 83' minute (second half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Italy vs Argentina on 1982-06-29 at the second group stage stage. It was regular play. Minute of regulation: 83, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Billy Hamilton of Northern Ireland in the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage.  [/INST],"The goal was scored by Billy Hamilton of Northern Ireland in the 27' minute (first half) wearing shirt number 11 during the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage. It was regular play. Minute of regulation: 27, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Bruno Pezzey of Austria in the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage.  [/INST],"The goal was scored by Bruno Pezzey of Austria in the 50' minute (second half) wearing shirt number 5 during the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Reinhold Hintermaier of Austria in the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage.  [/INST],"The goal was scored by Reinhold Hintermaier of Austria in the 68' minute (second half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Billy Hamilton of Northern Ireland in the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage.  [/INST],"The goal was scored by Billy Hamilton of Northern Ireland in the 75' minute (second half) wearing shirt number 11 during the 1982 FIFA Men's World Cup match Austria vs Northern Ireland on 1982-07-01 at the second group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Khoren Hovhannisyan of Soviet Union in the 1982 FIFA Men's World Cup match Belgium vs Soviet Union on 1982-07-01 at the second group stage stage.  [/INST],"The goal was scored by Khoren Hovhannisyan of Soviet Union in the 48' minute (second half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match Belgium vs Soviet Union on 1982-07-01 at the second group stage stage. It was regular play. Minute of regulation: 48, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Zico of Brazil in the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by not applicable Zico of Brazil in the 11' minute (first half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 11, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Serginho of Brazil in the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by not applicable Serginho of Brazil in the 66' minute (second half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 66, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by not applicable Júnior of Brazil in the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by not applicable Júnior of Brazil in the 75' minute (second half) wearing shirt number 6 during the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ramón Díaz of Argentina in the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by Ramón Díaz of Argentina in the 89' minute (second half) wearing shirt number 6 during the 1982 FIFA Men's World Cup match Argentina vs Brazil on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pierre Littbarski of West Germany in the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by Pierre Littbarski of West Germany in the 50' minute (second half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Klaus Fischer of West Germany in the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by Klaus Fischer of West Germany in the 75' minute (second half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Jesús María Zamora of Spain in the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage.  [/INST],"The goal was scored by Jesús María Zamora of Spain in the 82' minute (second half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match West Germany vs Spain on 1982-07-02 at the second group stage stage. It was regular play. Minute of regulation: 82, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alain Giresse of France in the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage.  [/INST],"The goal was scored by Alain Giresse of France in the 33' minute (first half) wearing shirt number 12 during the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage. It was regular play. Minute of regulation: 33, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Dominique Rocheteau of France in the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage.  [/INST],"The goal was scored by Dominique Rocheteau of France in the 46' minute (second half) wearing shirt number 18 during the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage. It was regular play. Minute of regulation: 46, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Dominique Rocheteau of France in the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage.  [/INST],"The goal was scored by Dominique Rocheteau of France in the 68' minute (second half) wearing shirt number 18 during the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Gerry Armstrong of Northern Ireland in the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage.  [/INST],"The goal was scored by Gerry Armstrong of Northern Ireland in the 75' minute (second half) wearing shirt number 9 during the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alain Giresse of France in the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage.  [/INST],"The goal was scored by Alain Giresse of France in the 80' minute (second half) wearing shirt number 12 during the 1982 FIFA Men's World Cup match France vs Northern Ireland on 1982-07-04 at the second group stage stage. It was regular play. Minute of regulation: 80, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Paolo Rossi of Italy in the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage.  [/INST],"The goal was scored by Paolo Rossi of Italy in the 5' minute (first half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage. It was regular play. Minute of regulation: 5, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Sócrates of Brazil in the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage.  [/INST],"The goal was scored by not applicable Sócrates of Brazil in the 12' minute (first half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage. It was regular play. Minute of regulation: 12, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Paolo Rossi of Italy in the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage.  [/INST],"The goal was scored by Paolo Rossi of Italy in the 25' minute (first half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage. It was regular play. Minute of regulation: 25, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Falcão of Brazil in the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage.  [/INST],"The goal was scored by not applicable Falcão of Brazil in the 68' minute (second half) wearing shirt number 15 during the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Paolo Rossi of Italy in the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage.  [/INST],"The goal was scored by Paolo Rossi of Italy in the 74' minute (second half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Italy vs Brazil on 1982-07-05 at the second group stage stage. It was regular play. Minute of regulation: 74, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Paolo Rossi of Italy in the 1982 FIFA Men's World Cup match Poland vs Italy on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Paolo Rossi of Italy in the 22' minute (first half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Italy on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 22, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Paolo Rossi of Italy in the 1982 FIFA Men's World Cup match Poland vs Italy on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Paolo Rossi of Italy in the 73' minute (second half) wearing shirt number 20 during the 1982 FIFA Men's World Cup match Poland vs Italy on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 73, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pierre Littbarski of West Germany in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Pierre Littbarski of West Germany in the 17' minute (first half) wearing shirt number 7 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 17, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Michel Platini of France in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Michel Platini of France in the 26' minute (first half) wearing shirt number 10 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was a penalty. Minute of regulation: 26, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Marius Trésor of France in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Marius Trésor of France in the 92' minute (extra time, first half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 92, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alain Giresse of France in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Alain Giresse of France in the 98' minute (extra time, first half) wearing shirt number 12 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 98, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Karl-Heinz Rummenigge of West Germany in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Karl-Heinz Rummenigge of West Germany in the 102' minute (extra time, first half) wearing shirt number 11 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 102, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Klaus Fischer of West Germany in the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage.  [/INST],"The goal was scored by Klaus Fischer of West Germany in the 108' minute (extra time, second half) wearing shirt number 8 during the 1982 FIFA Men's World Cup match West Germany vs France on 1982-07-08 at the semi-finals stage. It was regular play. Minute of regulation: 108, minute of stoppage: 0.",train
